2,0.034724,0.186343,15.167324,0.202524,0.614799,24.178399
4,0.026627,0.163179,16.496155,0.249156,0.891895,6.340516
8,0.022943,0.15147,16.944988,0.304378,0.868019,10.6214
16,0.016242,0.127444,18.462124,0.387591,0.863481,12.922495
32,0.012046,0.109755,19.83075,0.48387,0.971531,5.18584
64,0.008808,0.093849,20.96896,0.589963,0.956697,5.434062
128,0.007437,0.086238,21.617996,0.66891,0.972382,4.670216
256,0.006091,0.078043,22.431,0.706257,0.991669,2.921256
2,0.034728,0.186355,15.179722,0.214466,0.901515,8.636157
4,0.026763,0.163594,16.294659,0.235706,0.948588,7.374042
8,0.02282,0.151062,17.06419,0.284686,0.945924,8.353929
16,0.016398,0.128054,18.506302,0.386694,0.901351,6.850043
32,0.012595,0.112226,19.439548,0.489136,0.957234,7.292889
64,0.008455,0.091952,21.163506,0.613761,0.971013,6.11306
128,0.006888,0.082995,21.992115,0.690044,0.978161,3.830974
256,0.005768,0.075946,22.683693,0.718539,0.969843,5.979113
