2,0.035815,0.189248,15.016239,0.192996,0.817146,13.573596
4,0.030095,0.173478,15.740726,0.220742,0.900917,6.515844
8,0.022994,0.151637,16.934635,0.292147,0.839674,10.587257
16,0.018625,0.136472,17.874947,0.36576,0.924856,7.888708
32,0.016603,0.128855,18.102303,0.404358,0.92516,7.525706
64,0.017629,0.132776,17.960026,0.372514,0.938567,5.261237
128,0.016156,0.127107,18.227118,0.400947,0.944479,4.541545
256,0.016933,0.130128,18.037537,0.396669,0.937052,7.5852
2,0.03401,0.184419,15.174833,0.186163,0.918891,7.696995
4,0.03104,0.176183,15.783731,0.226233,0.901321,8.801315
8,0.025133,0.158534,16.504883,0.257981,0.902682,10.88898
16,0.018915,0.137533,17.648329,0.327729,0.967801,4.217305
32,0.016778,0.129531,18.140747,0.39123,0.961605,5.861957
64,0.016692,0.129196,18.146347,0.393133,0.985476,3.728797
128,0.015076,0.122783,18.556885,0.408276,0.928112,9.757232
256,0.017012,0.130431,18.091845,0.382733,0.933285,8.414124
