2,0.034224,0.184998,15.132807,0.188577,0.905873,9.111323
2,0.031976,0.178817,15.362997,0.197851,0.823349,11.606155
4,0.027231,0.16502,16.358774,0.235834,0.941978,6.381075
8,0.021201,0.145606,17.334578,0.302964,0.944632,6.12051
16,0.016498,0.128443,18.287004,0.392462,0.84637,14.24075
32,0.01094,0.104595,20.200157,0.530064,0.981427,4.394441
64,0.007077,0.084125,22.143543,0.659197,0.995756,2.107109
128,0.004512,0.067173,24.059254,0.788744,0.98718,2.465574
256,0.002811,0.053023,25.991138,0.881478,0.990941,2.539082
2,0.034677,0.186219,15.25642,0.177799,0.860715,12.139612
2,0.038077,0.195135,14.774672,0.177978,0.842505,9.109511
2,0.035236,0.187713,15.059536,0.174065,0.958602,5.894182
2,0.037028,0.192426,14.859304,0.171649,0.907879,7.698893
4,0.028484,0.168772,15.986713,0.209387,0.921132,7.349945
8,0.022494,0.149979,17.064472,0.299527,0.871804,7.7691
2,0.033848,0.183979,15.465115,0.210074,0.956208,6.205968
4,0.025189,0.158709,16.568012,0.237863,0.857932,7.805418
8,0.021142,0.145402,17.325909,0.304705,0.857321,11.068711
16,0.015611,0.124942,18.738623,0.398111,0.965595,4.976937
32,0.010525,0.102594,20.496105,0.539664,0.921227,6.73929
64,0.007011,0.083733,22.132492,0.667465,0.972811,5.231272
128,0.004572,0.067619,23.957951,0.791402,0.993502,2.33513
256,0.002358,0.048564,26.827847,0.889754,0.999367,0.662192
